,sku_number,sku_name,sku_url,full_description,short_description,Allergen Information,Nutrition Information,Product Packaging,Container,Benefits,Shelf Life,Ingredients,Description,Storage,Preparation,Yield,Tips
12,67605718,Aroysure All-In-One Seasoning Pork Flavoured 800 g,https://www.unileverfoodsolutions.co.th/en/product/aroysure-all-in-one-seasoning-pork-flavoured-800-g-1-EN-276000.html,[''],"['Big Value Pack for Operators', 'Made with 7 times more pork*', 'Blended with aromatic spices', 'Well-rounded touchs to all applications']","Contains wheat, soy bean, sulfide and celery",,1 x 800 g.,Sachet,Enhance the aroma and taste of every dish,Pork 12 Months,,Knorr Aroysure made with 7 times more pork* and blended with aromatic spices to enhance well-rounded delicious taste,,,,
13,20062495,BEST FOODS SE Bakery Mayonnaise 910 g,https://www.unileverfoodsolutions.co.th/en/product/best-foods-se-bakery-mayonnaise-910-g-1-EN-113341.html,[''],"['Delicate texture without oil separation', 'SE Bakery Mayonnaise is ideal for garnishing or decorating foods', 'Provides glossy and beautiful lines', 'Thin enough to pipe on easily without much pressure required.', 'Using natural material and made from pasteurised egg and sterilised']","Contain soybean, egg, mustard, and might contain celery and sulphides.",,12 x 910 g.,Pouch,Consistency in taste for every baked buns,6 months,"Soybean oil 43%, Sugar 22%, Egg 7.3%, Distilled vinegar 4.7%, Iodized salt 2.4%, Thickener (INS 1442), Preservative (INS 202), Acidity regulator (INS 330), Stabilizer (INS 415), Antioxidant (INS 385), Nature-identical flavour added","Well rounded taste, suitable for buns decorating and filling",The product is good for 2 months in refrigerator after opening.,,,
14,67605711,Aroysure All-In-One Seasoning Chicken Flavoured 800 g,https://www.unileverfoodsolutions.co.th/en/product/aroysure-all-in-one-seasoning-chicken-flavoured-800-g-1-EN-276001.html,[''],"['Big Value Pack for Operators', 'Blended with aromatic spices', 'Well-rounded touchs to all applications']","Contains wheat, soy bean, sulfide and celery",,1 x 800 g.,Sachet,To enhance well-rounded delicious taste,Chicken 15 Months,,Knorr Aroysure made with chicken and blended with aromatic spices to enhance well-rounded delicious taste,,,,
15,20062499,BEST FOODS Mayo Magic Salad Dressing 1 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-mayo-magic-salad-dressing-1-kg-1-EN-113343.html,[''],"['Best Foods Mayo Magic Salad Dressing good quality mayonnaise with certified standard', 'White beautiful creamy texture']","Contain soybean, egg, mustard, and might contain celery, sulphides.",,6 x 1 kg.,Pouch,,6 months,"Soybean oil 37%, Sugar 19%, Egg 3.1%, Distilled vinegar 2.8%, Iodized salt 2%, Thickener (INS 1442), Acidity regulator (INS 270), Stabilizer (INS 415), Preservative (INS 385), Flavour enhancer (Disodium 5' ribinucleotided), Antioxidant (INS 385), Natural colours (INS 100i, INS 160c) Nature-identical flavour added",Salad dressing with a smooth texture. Easy to spread and perfect for sandwiches or burgers.,The product is good for 2 months in refrigerator after opening.,,,
16,67685430,Knorr Chicken Broth Base No Added MSG 1.5 kg,https://www.unileverfoodsolutions.co.th/en/product/knorr-chicken-broth-base-no-added-msg-1-5-kg-1-EN-286586.html,[''],"['Meaty taste & no added MSG', 'Made from real chicken meat, vegetables, herbs and spices, yet, in keeping with the tastes of modern diners', 'Made with reduced salt and no added MSG', 'Great time savers in the kitchen', 'Bring a true made-from-scratch flavour to your soups, sauces, stews and hotpots']",No added MSG. No preservatives added. Halal certified.,,6 x 1.5 kg.,Tub,Meaty taste & no added MSG,9 Months,,,,,,
17,21023648,KNORR Chicken Flavoured Broth-Base 1.5 kg,https://www.unileverfoodsolutions.co.th/en/product/knorr-chicken-flavoured-broth-base-1-5-kg-1-EN-114615.html,[''],"['Made with carefully selected quality chicken meat, fat and flavors, in an easy-to-use format', 'Rounded taste', 'Full-body flavor with Chicken aroma', 'Easy to use format']","Contain wheat, egg, soybean, Sulphite, and might contain celery",,15 x 400 g.,Tub,No Preservatives added.,9 months,"Iodized Salt 37%,Hydrogenated palm fat and Palm oil 16%,Sugar 11%, Chicken (Chicken Meat and Chicken fat) 7.5%, Soy sauce 1.2%, Chicken extract 1.2%, Spices 0.1%, Flavour enhancer (Monosodium glutamate, Glycine, Disodium 5' ribonucleotide), Nature identical flavours added. No Preservatives added.","Made for Chefs by Chefs. Knorr Chicken Flavoured Broth - Base is made with quality U.S. Chicken, blend with spices and flavours to give you that full-bodied meaty taste and chicken aroma. With a delicious meaty taste, you can also use Knorr Chicken Flavoured Broth - Base to replace bones and meat as desired, especially in stocks, soupy dishes, sauces and stews.",Close pack tightly and store in a cool and dry place.,"For a full - flavoured broth, add 20g of Knorr Chicken Flavoured Broth - Base into 1L of boiling water. For a mild broth - add only 15g of Knorr Chicken Flavoured Broth - Base into 1L of boiling water.",100 L.,
18,21075857,KNORR Brown Sauce 1 kg,https://www.unileverfoodsolutions.co.th/en/product/knorr-brown-sauce-1-kg-1-EN-113403.html,[''],"['Easy to prepare and can be used as a base for other western sauces', 'Easy base for steak sauce', 'Convenience in use', 'Consistent flavor and quality', 'Can control and no waste']","Contain wheat flour, and might contain soybean, celery, and sulphides.",,6 x 1 kg.,Tub,,6 months,"Wheat flour 28%, Sugar 9.4%, Iodized Salt 9%, Tomato powder 5.2%, Beef fat 5%, Spices 1.8%, Thickener (INS 1442), Flavour enhancer (Monosidium glutamate), Disodium 5' ribonucleotide), Bulking agent (Maltodextrin), natural colour (INS 150d), Stabilizer (INS 412), Acidity regulator (INS 330) Artificial flavour added, No Preservative added",Made for chefs by chefs Knorr Brown Sauce gives you the classic western taste style in 5 minutes,Close pack tightly and store in a cool and dry place,,,
19,67033483,KNORR SELECTIONS Lime Seasoning Powder 67 g,https://www.unileverfoodsolutions.co.th/en/product/knorr-selections-lime-seasoning-powder-67-g-1-EN-113401.html,[''],"['Regardless of the season, this offers the consistently delicious sourness.', 'The consistently sour taste of Paan lime every time you use.', 'Fragrance of lime', 'Consistent juice yield', 'Save up to 5x the cost, compared to fresh lime']","Soy lecithin and may contain Wheat, Sulphite",,8 x 6 x 67 g.,Pouch,(1) 5 times more saving compared to fresh lime. Maintain consistent taste quality throughout the year (2) With real limes - 1 pack = 120 pieces of fresh lime or equal to less than 1 Baht a piece of fresh lime (3) Easy to use - Just add water to unlock the freshness of lime (4) Natural taste and aroma of real limes/Halal certified for use in varied menus,9 months,"Dextrose 68%, Lime juice powder 0.5%, Acidity regulator (INS330), Anti-caking (INS551), Artificial colour (INS102).","Made for Chefs by Chefs. A versatile seasoning with the refreshing taste of lime, perfect for many food and dessert applications.",Close pack tightly and store in a cool and dry place.,"Shake the pouch properly before use. add 3 portions of normal temperature water into 1 portion of Knorr Lime Seasoning Powder, stir well to let the powder completely dissolved.",120 fresh limes,
20,21147079,KNORR Cream Soup Base 1 kg,https://www.unileverfoodsolutions.co.th/en/product/knorr-cream-soup-base-1-kg-1-EN-114637.html,[''],"['Knorr cream soup base for professional restaurant owner', 'Consistency taste', 'Save times from 4hours to 10minutes', 'Can control the quantity']","Contain product from milk, and might contain soybean, celery, sulphides.",,6 x 1 kg.,Tub,,6 months,"Wheat flour 32%, Rice flour 21%, Skimmed milk powder 8%, Iodized Salt 7.3%, Non dairy creamer 6.1%, Sugar 5.8%, Steamed Chicken bone concentrated 0.8%, Bulking agent (Maltodextrin), Flavour enhancer (Monosodium glutamate), No Artificial flavours added, No Artificial colours added, No Preservatives added.","Knorr Cream Soup Base is made with pasteurised skimmed milk powder, extract from chicken bone soup and onion to deliver Western Style taste in 10 minutes",Close pack tightly and store in a cool and dry place,"1. Dissolve 80g of Knorr Cream Soup Base in 1 litre of room temperature water then put it to boil 2. Add on other desired ingredients, whisk and simmer for another 10 minutes, and ready to serve.",12.5 L.,
21,21023644,KNORR Clear Noodle Soup Powder Pork Flavoured 170 g,https://www.unileverfoodsolutions.co.th/en/product/knorr-clear-noodle-soup-powder-pork-flavoured-170-g-1-EN-113391.html,"['Made for Chefs by Chefs, Knorr Clear Noodle Soup Powder is specially created for Thai noodle soup. Made with good quality pork spinal bone and flavours for a sweet bone taste, it is blended with herbs and spices to give a meaty soup in just 35 minutes']",[''],"Contain product from milk, sulphides, and might contain soybean, celery, wheat.",,6 x 6 x 170 g.,Sachet,,12 months,"Iodized salt 34%, Sugar 21%, Spices 4.5%,  Pork stock powder 1%, Chinese five spices 0.3%, Flavour enhancer (Monosodium glutamate, Disodium 5' ribonucleotide), Natural colour (INS150c)","Made for Chefs by Chefs, Knorr Clear Noodle Soup Powder is specially created for Thai noodle soup. Made with good quality pork spinal bone and flavours for a sweet bone taste, it is blended with herbs and spices to give a meaty soup in just 35 minutes",Close pack tightly and store in a cool and dry place,"1. In Noodle pot no. 16, add 13L of water with half the amount of pork bone usually used. Then heat until boiling point in 30 minutes. 2. Add a full pack of Knorr Clear Noodle Soup Powder and boil for another 5 minutes. 3. Meaty and flavour full is now ready to serve.",13 L. or 65 Bowls,
22,21023660,KNORR Slow Simmer Noodle Soup Powder Pork Flavoured 200 g,https://www.unileverfoodsolutions.co.th/en/product/knorr-slow-simmer-noodle-soup-powder-pork-flavoured-200-g-1-EN-113390.html,"['Made for Chefs by Chefs, Knorr Slow Simmer Noodle Soup Powder is specially created for Thai noodle soup. Made with good quality pork spinal bone and flavours for a sweet bone taste, it is blended with herbs and spices to give a meaty soup in just 35 minutes']",[''],"Contain product from milk, sulphides, and might contain soybean, celery, wheat.",,6 x 6 x 200 g.,Pouch,,12 months,"Iodized salt 39%, Sugar 23%, Spices 2.5%, Chinese five spices 1.7%, Pork stock powder 0.5%, Flavour enhancer (Monosodium glutamate, Disodium 5' ribonucleotide), Natural colour (INS150c)","Made for Chefs by Chefs, Knorr Slow Simmer Noodle Soup Powder is specially created for Thai noodle soup. Made with good quality pork spinal bone and flavours for a sweet bone taste, it is blended with herbs and spices to give a meaty soup in just 35 minutes",Close pack tightly and store in a cool and dry place,"1. In Noodle pot no. 16, add 13L of water with half the amount of pork bone usually used. Then heat until boiling point in 30 minutes. 2. Add a full pack of Knorr Slow Simmer Noodle Soup Powder and boil for another 5 minutes. 3. Meaty and flavour full is now ready to serve.",13 L. or 66.5 Bowls,
23,21010969,KNORR Chicken Flavoured Seasoning Powder 1 kg,https://www.unileverfoodsolutions.co.th/en/product/knorr-chicken-flavoured-seasoning-powder-1-kg-1-EN-113393.html,"['Knorr™ Chicken flavour seasoning powder. Made for Chefs by Chefs. Prepared from good quality real chicken. A versatile seasoning to boost meatiness in many applications. Ideal for Asian and Western cuisine. Knorr™ Chicken flavour seasoning powder can be used in all other multinational applications such as stew, dipping sauce, etc']",[''],"Contain egg, sulphides, and might contain wheat, soybean, celery.",,6 x 1 kg.,Tub,,9 months,"Maltodextrin 16%, Monosodium glutamate (INS 621) 12%, Disodium 5' ribonucleotide (INS 635) 0.8% Iodixed salt, Sugar, Tapioca flour, Chicken fat, Dehydrated chicken, Hydrolysed vegetable protein, Steamed chicken concentrate, Nature identical flavour, Garlic fat, Pepper Contains Egg and Sulphite. No Preservative Added.","Knorr™ Chicken flavour seasoning powder. Made for Chefs by Chefs. Prepared from good quality real chicken. A versatile seasoning to boost meatiness in many applications. Ideal for Asian and Western cuisine. Knorr™ Chicken flavour seasoning powder can be used in all other multinational applications such as stew, dipping sauce, etc",Close pack tightly and store in a cool and dry place.,(1) Stir fry: Sprinkle 6 g of Knorr™ Chicken Flavour Seasoning Powder when stir frying single serve ingredient (250g). 1 tub makes up to 166 dishes. (2) Marinade: Marinade 1 kg of meat with 15g of Knorr™ Chicken flavour seasoning powder for 30 minutes before cooking. 1 tub makes up to 66kg of meat. (3) Stock: Dissolve 12g (1 tablespoon) of Knorr™ Chicken flavour seasoning powder in 1L of boiling water. 1 tub makes up to 83L of stock,166 stir fry dishes,
24,21024687,BEST FOODS LC Strawberry Flavoured Filling 900 g,https://www.unileverfoodsolutions.co.th/en/product/best-foods-lc-strawberry-flavoured-filling-900-g-1-EN-151138.html,[''],[''],"Contain sulphides and might contain soy,  milk.",,9 x 900 g.,Pouch,,6 months,"Sugar 21%, Fructose syrup 12%, Strawberry 2%, Thickener (INS 1442), Acidity regulator (INS 330, INS 331(iii)), Preservative (INS 202), Artificial colours (INS 110, INS 122, INS 127) Nature-Identical flavour added",,Keep in refrigerator after opening.,,,
25,20098377,BEST FOODS Salad Oil 3.3 L,https://www.unileverfoodsolutions.co.th/en/product/best-foods-salad-oil-3-3-l-1-EN-113332.html,"[""Best Foods Salad Oil is 100% fully refined soybean oil. It's recommended for frying use, because it imparts no oily taste or odor to food. Best Foods® Salad Oil is also suitable for making mayonnaise and salad cream.""]",[''],,,4 x 3.3 L.,Gallon,"(1) Made from 100% soybean oil (2) Good for frying, baking and dressing (3) Light in colour, imparts no oily taste or odor to food",8 months,Soybean Oil 100%,"Best Foods Salad Oil is 100% fully refined soybean oil. It's recommended for frying use, because it imparts no oily taste or odor to food. Best Foods® Salad Oil is also suitable for making mayonnaise and salad cream.",,,,
26,20062497,BEST FOODS Salad Cream 1 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-salad-cream-1-kg-1-EN-113337.html,"['Best Foods Salad Cream increase delightful and well rounded taste to your favorite salad or salad with meat such as fried shrimp salad, fried chicken served with salad or fruit salad. It can also be used as dipping sauce. With a smooth and fine texture, Best Foods Salad Cream will help decorate and top your dish to make it more appealing and appetizing.']",[''],"Contain soybean, egg, mustard, and might contain celery, sulphides.",,9 x 1 kg.,Pouch,,9 months,"Soybean oil 47%, Sugar 22%, Egg 7.4%, Distilled vinegar 4.8%, Iodized salt 2.4%, Thickener (INS 1442), Preservative (INS 202), Acidity regulator (INS 330), Stabilizer (INS 415), Antioxidant (INS 385) Nature-identical flavour added","Best Foods Salad Cream increase delightful and well rounded taste to your favorite salad or salad with meat such as fried shrimp salad, fried chicken served with salad or fruit salad. It can also be used as dipping sauce. With a smooth and fine texture, Best Foods Salad Cream will help decorate and top your dish to make it more appealing and appetizing.",The product is good for 2 months in refrigerator after opening.,,,
27,20105827,BEST FOODS Baking Powder Double Acting Formula 1 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-baking-powder-double-acting-formula-1-kg-1-EN-113335.html,"['Best Foods Baking Powder Double Acting Formula (Food Additive) offer these important advantage. Release gas slowly when cold, so that gas activity will not be lost if user leaves dough unbaked. Rate of gas released is controlled so that better results are achieved both in dough and in texture of finished product.']",[''],Contain sulphides.,,18 x 1 kg.,Pack,,,"Sodium bicarbonate(INS 500) 30%, Disodium pyrophosphate (INS 450i) 24%, Monocalcium phosphate (341i) 16%, Tapioca starch","Best Foods Baking Powder Double Acting Formula (Food Additive) offer these important advantage. Release gas slowly when cold, so that gas activity will not be lost if user leaves dough unbaked. Rate of gas released is controlled so that better results are achieved both in dough and in texture of finished product.",Use with dry spoon. Keep it tightly closed after opened. Keep away from light and heat.,(1) Cake: add Baking Powder Double Acting Formula 60 gram (around 2/5 measuring cup) for flour 1 kilogram or use as required in cooking book. (2) Pancake: add Baking Powder Double Acting Formula 35 gram (areound 1/4 measuring cup) for flour 1 kilogram or use as required in cooking book (3) Cookie: add Baking Powder Double Acting Formula 15 gram (around 1 tablespoon) for flour 1 kilogram or use as required in cooking book,,
28,20101997,BEST FOODS Elbow Macaroni 2.5 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-elbow-macaroni-2-5-kg-1-EN-113348.html,['Good quality pasta made from durum wheat 100%. Good with various sauces both western and Thai style.'],[''],Contain wheat,,2 x 2.5 kg,Bag,,24 month,Wheat Semolina 78%,Good quality pasta made from durum wheat 100%. Good with various sauces both western and Thai style.,Keep in a cool and dry place,,,
29,20109191,BEST FOODS Spaghetti 1 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-spaghetti-1-kg-1-EN-113347.html,['Good quality pasta made from durum wheat 100%. Good with various sauces both western and Thai style.'],[''],Contain wheat,,5 x 1 kg.,Bag,,24 month,Durum Wheat 100%,Good quality pasta made from durum wheat 100%. Good with various sauces both western and Thai style.,Keep in a cool and dry place,,,
30,20296063,BEST FOODS LC Strawberry Flavoured Filling 1.8 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-lc-strawberry-flavoured-filling-1-8-kg-1-EN-113351.html,[''],[''],"Contain sulphides and might contain soy, milk.",,4 x 1.8 kg.,Pouch,,6 months,"Sugar 21%, Fructose syrup 12%, Strawberry 2%, Thickener (INS 1442), Acidity regulator (INS 330, INS 331(iii)), Preservative (INS 202), Artificial colours (INS 110, INS 122, INS 127) Nature-Identical flavour added",,Keep in refrigerator after opening.,,,
31,20296065,BEST FOODS Blueberry Flavoured Filling 1.8 kg,https://www.unileverfoodsolutions.co.th/en/product/best-foods-blueberry-flavoured-filling-1-8-kg-1-EN-113352.html,[''],[''],Contain soybean oil and might contain product from milk and sulphides.,,4 x 1.8 kg.,Pouch,,6 months,"Sugar 16%, Fructose syrup 15%, Blueberry 0.5%, Thickener (INS 1442), Acidity regulator (INS 330, INS331(iii)), Preservatives (INS 202, INS Nature-Identical flavour added",,Keep in refrigerator after opening.,,,
